Cluster,Goals per match,Shots_PA,Shooting accuracy %,Tackles_PA,Interceptions_PA,Recoveries_PA,Duels_won_PA,Tackle success %,Aerial_battles_won_PA,Assists_PA,Passes per match,Through_balls_PA,Accurate_long_balls_PA,Big_chances_PA
Attacking,1.396700815341268,1.38050319334183,1.3684187372100445,-0.7833373781558262,-0.8685359020607728,-0.4220271819098027,-0.353504693865542,-1.363540222858733,-0.8711391906497102,1.408765898322468,-0.11422957196710484,1.0773319162489234,-0.3411748291100533,1.4104650606976716
Balanced,-0.8904965091631646,-0.9560676982896051,-0.375061152146709,-0.6280307342758359,-0.5322898796882988,-0.957926011119112,-1.0091126637498409,1.0066832467205797,-0.5292295458882914,-0.8117793308170769,-1.163628308883733,-1.3320870044003763,-1.017983072200511,-0.794346134323399
Defensive,-0.5062043061781033,-0.4244354950522241,-0.9933575850633299,1.4113681124316615,1.4008257817490712,1.3799531930289146,1.3626173576153833,0.356856976138158,1.400368736538002,-0.5969865675053908,1.2778578808508385,0.25475508815145237,1.3591579013105637,-0.6161189263742728
