Player_Name,Market Value (M Euro),Cluster,Goals per match,Shots_PA,Shooting accuracy %,Tackles_PA,Interceptions_PA,Recoveries_PA,Duels_won_PA,Tackle success %,Aerial_battles_won_PA,Assists_PA,Passes per match,Through_balls_PA,Accurate_long_balls_PA,Big_chances_PA
David Brooks,8.0,Attacking,0.8216238751532827,0.17425777768492304,1.3444416616607406,-0.8949089983509929,-0.4140290771255284,-0.9281823466226492,-0.7660354905828684,1.5192450435581055,-0.8583716060912507,0.25050524547667774,-0.8394529417427519,0.725807352053791,-0.8074262750626903,0.5376162683210117
Ryan Christie,12.0,Defensive,-1.0331613653979717,0.05509172783369664,-0.22299410905728714,0.3271975669957919,0.9408618864545117,0.8293113648182571,0.5570273409910809,-0.323648693489822,-0.24357965086342295,-0.02880875376482821,-0.38648588054583727,0.8855410558254265,0.25732414121945757,0.2060720439563443
Junior Stanislas,,Attacking,1.0689285738934498,1.2747912968991926,0.4487640783932962,-0.8814754707161213,-0.4552947917523318,-0.5152034569152659,-1.0128611430391874,0.7129790335996372,-0.425507882512474,0.16405091237811642,-0.6469050541655619,0.38020170207516163,-0.8216977023752322,0.08120473867614474
Marcus Tavernier,20.0,Attacking,0.8216238751532827,1.4562942089625102,0.4487640783932962,0.2786794049152666,-1.0536476538409791,0.602372983780727,0.6678272935204278,0.8281598921651326,-0.16041245925242806,0.7977326725620769,-0.4314874941175177,-0.18529709855013485,-0.48173191603717924,0.7590558244829418
Joe Rothwell,2.5,Balanced,-1.1568137147680553,-1.5810106511009336,1.0085625679354489,-0.8573084544995407,-0.7255186649536564,-0.7558219403959484,-1.3486629424266139,-0.20846783492432655,-1.0769283248687538,-0.7380346228066242,-0.8372397476326691,-0.2691321987114691,-0.6920052845856806,-0.8774539276686127
Hamed Traorè,17.0,Balanced,-1.1568137147680553,-0.22950483828158574,-1.006711994416301,0.47903087421249513,-1.1733182262587085,-0.20547694022549712,0.5308625329239092,0.36743645790315077,-0.49100204590613233,-1.1859667506224953,-1.1633170131848454,2.5868502134513185,-0.9872462592007188,-1.1674683141258502
Jefferson Lerma,20.0,Defensive,-0.2912472691774698,-0.03247644635562111,-0.78279259859944,0.014310306375136557,1.9749383711923278,2.0653502255599254,0.924197230021603,0.36743645790315077,2.370589093139865,-0.865522997646526,0.9731530344149338,-0.16530565158858582,0.6746065612397433,-0.33758099287898585
Alex Scott,20.0,Balanced,-0.6622043172877208,-0.7502227312287781,-0.6708329006910093,-0.11846699872125178,-0.27118621880197885,-0.8739455431406867,-0.07984133888566713,0.02189388220666438,0.019516561059820234,-0.6518938289958798,-0.9855237530082064,-0.5851260377811136,-0.6761605095616176,0.21567722128559036
Philip Billing,22.0,Defensive,-0.16759491980738625,0.04300845704458622,-0.11103441114885658,0.5856550737595947,1.4945823672218612,0.2498502699152634,1.0634640605729393,0.13707474077215984,2.6331764149046495,-0.7975500803485932,-0.21680766543950117,-0.754750436242741,-0.08078108441501229,-0.1615442883720753
Lewis Cook,12.0,Defensive,-1.0331613653979717,-1.1521768504199807,-1.230631390233162,0.2079040749569206,1.1030054677878862,0.9883533868491806,-0.19228650977122533,0.02189388220666438,-0.12159611712463471,-0.28687996169711366,0.20148602136611846,-0.39719684811859124,0.7385081209441023,-0.6500325742596997
Douglas Luiz,70.0,Defensive,0.2033621283028646,-0.10927730933084398,0.33680438048486566,0.22422490300371192,0.7550875692727035,0.9976261104413993,0.3963006628641724,-0.09328697635883108,0.29742293056609825,0.24229683407039673,0.9288891522132808,-0.08134157435008028,1.2202930679375052,0.16825508864291236
John McGinn,30.0,Defensive,-0.043942570437302694,0.5491173284823179,0.11288498466800453,0.8001666818874805,0.42136172712173287,0.8852425209606752,1.5823227268790656,0.2522555993376553,-0.20465547106874218,0.3479403614911566,0.020004104339341824,0.7112185655782424,1.4332826397659482,0.505172798464729
Emiliano Buendía,22.0,Attacking,-0.043942570437302694,0.3562866519989529,-0.4469135048741482,0.14647854126466034,-0.5101895497421158,-0.019645915359503302,0.8555393386643765,-1.2450955620137858,-0.0519708344110278,0.7249363634543864,-0.13639494610649844,1.6744576921847854,0.17853669731741972,0.8945605804095543
Leander Dendoncker,7.0,Balanced,-0.2912472691774698,-0.696521383805348,0.6726834742101573,0.21784393852946837,0.1902964541854193,-0.28703062717170996,0.14045605465848734,-1.1299147034482904,2.06212130603613,-1.0032575932239165,-0.21090581447928092,-1.0116979214124102,-0.28568757242805043,-0.9308776304370512
Boubacar Kamara,38.0,Defensive,-1.1568137147680553,-1.5018732523749099,-1.006711994416301,1.1917030004306088,0.5238280734836365,0.6687602399907917,0.9834797322157527,-0.5540104106208129,0.47751770367281615,-0.5547896614274042,0.9569229442743278,0.0509654564499891,0.7397261858651536,-0.7588116786633792
Jacob Ramsey,35.0,Balanced,0.32701447767294817,-0.21287257143069271,0.11288498466800453,0.03442807987458927,-0.4770530776464644,-0.47849453138938797,-0.09913167690122404,0.13707474077215984,-0.49100204590613233,0.07638742776768709,-0.6852670854069943,-0.5554417680503289,-0.8808221869557632,-0.10496106192342548
Youri Tielemans,25.0,Defensive,0.32701447767294817,0.5042821605271721,0.11288498466800453,0.5579120151434137,0.14949197207920423,0.9687298079534059,0.4889023798945293,-0.4388295520553175,0.08741235768517336,0.8297278245489251,1.3191490469578537,1.4914049046765507,1.1160595987157178,0.7176251978461937
