Player_Name,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Assists_PA,Shots_PA,Tackles_PA,Interceptions_PA,Big_chances_PA,Recoveries_PA,Duels_won_PA,Through_balls_PA,Accurate_long_balls_PA,Aerial_battles_won_PA,Cluster,Market Value (M Euro)
Youri Tielemans,186,23,0.12,1,19,3,5,0,242,78,32,9,5,27,9217,49.55,39,373,18,78,442,21,0,170,2,345,54,85,140,110,63,1030,844,744,154,136,109,1,0.14516129032258066,1.3010752688172043,1.8548387096774193,0.7526881720430108,0.20967741935483872,5.537634408602151,4.537634408602151,0.41935483870967744,2.3763440860215055,0.7311827956989247,Defensive,25.0
Bruno Fernandes,162,54,0.33,3,46,5,19,1,449,177,39,17,34,41,8688,53.63,92,772,23,107,581,33,0,169,37,276,56,130,106,165,87,844,651,868,116,79,157,1,0.25308641975308643,2.771604938271605,1.7037037037037037,0.654320987654321,0.5679012345679012,5.209876543209877,4.018518518518518,0.6604938271604939,3.5864197530864197,0.4876543209876543,Attacking,70.0
Matheus Nunes,55,1,0.02,0,1,0,0,0,38,13,34,2,5,4,1513,27.51,5,66,24,8,85,2,2,46,7,80,60,12,23,41,21,195,247,232,65,29,39,2,0.07272727272727272,0.6909090909090909,1.4545454545454546,0.41818181818181815,0.09090909090909091,3.5454545454545454,4.490909090909091,0.14545454545454545,1.5454545454545454,0.5272727272727272,Balanced,50.0
Stefan Bajcetic,12,1,0.08,0,0,1,0,0,6,3,50,0,0,0,263,21.92,0,5,20,0,12,2,0,8,0,13,54,2,9,4,3,42,40,44,7,9,5,0,0.0,0.5,1.0833333333333333,0.75,0.0,3.5,3.3333333333333335,0.0,1.0,0.75,Balanced,11.0
Bernardo Silva,236,39,0.17,2,4,33,0,0,279,111,40,7,29,44,10695,45.32,59,443,18,26,344,32,0,166,21,293,56,89,130,86,26,866,791,913,279,56,136,0,0.1864406779661017,1.1822033898305084,1.2415254237288136,0.5508474576271186,0.25,3.669491525423729,3.3516949152542375,0.11016949152542373,1.4576271186440677,0.23728813559322035,Attacking,70.0
Harvey Elliott,77,4,0.05,0,0,4,0,0,96,31,32,3,2,8,2136,27.74,12,109,28,12,79,4,0,23,3,57,61,36,25,14,6,236,147,170,31,15,31,0,0.1038961038961039,1.2467532467532467,0.7402597402597403,0.3246753246753247,0.15584415584415584,3.064935064935065,1.9090909090909092,0.15584415584415584,1.025974025974026,0.19480519480519481,Balanced,35.0
Shandon Baptiste,55,2,0.04,0,1,1,0,0,18,7,39,0,0,2,663,12.05,3,22,32,2,26,2,2,20,2,33,52,7,21,26,15,124,103,110,31,16,31,0,0.03636363636363636,0.32727272727272727,0.6,0.38181818181818183,0.05454545454545454,2.2545454545454544,1.8727272727272728,0.03636363636363636,0.4727272727272727,0.2909090909090909,Balanced,2.5
Sofyan Amrabat,21,0,0.0,0,0,0,0,0,3,0,0,1,0,0,645,30.71,0,7,14,0,35,6,0,24,0,27,59,1,8,19,9,60,48,56,6,5,6,1,0.0,0.14285714285714285,1.2857142857142858,0.38095238095238093,0.0,2.857142857142857,2.2857142857142856,0.0,1.6666666666666667,0.23809523809523808,Balanced,22.0
James Maddison,194,47,0.24,0,35,12,2,8,453,158,35,8,24,43,7383,38.06,63,934,25,90,339,30,1,158,24,266,55,151,68,38,15,661,989,814,241,36,98,1,0.22164948453608246,2.3350515463917527,1.3711340206185567,0.35051546391752575,0.3247422680412371,3.4072164948453607,5.097938144329897,0.4639175257731959,1.7474226804123711,0.18556701030927836,Attacking,70.0
Oliver Skipp,79,1,0.01,0,1,0,0,0,18,6,33,0,1,0,2215,28.04,1,17,24,5,69,17,0,53,1,96,56,8,34,38,15,243,200,191,21,34,51,1,0.0,0.22784810126582278,1.2151898734177216,0.43037974683544306,0.012658227848101266,3.0759493670886076,2.5316455696202533,0.06329113924050633,0.8734177215189873,0.43037974683544306,Balanced,15.0
Mario Lemina,131,7,0.05,3,4,0,0,0,125,33,26,3,4,5,4846,36.99,7,42,21,20,224,25,2,154,12,306,63,36,172,166,88,681,670,516,143,131,102,1,0.03816793893129771,0.9541984732824428,2.33587786259542,1.3129770992366412,0.05343511450381679,5.198473282442748,5.114503816793893,0.15267175572519084,1.7099236641221374,1.0,Defensive,10.0
Jack Hinshelwood,16,3,0.19,2,1,0,0,0,17,9,53,1,3,0,589,36.81,1,18,22,0,14,1,0,12,1,17,29,2,16,21,11,41,30,41,1,8,11,0,0.0,1.0625,1.0625,1.0,0.0625,2.5625,1.875,0.0,0.875,0.5,Balanced,16.0
Moisés Caicedo,83,3,0.04,0,3,0,0,0,52,16,31,2,0,5,4747,57.19,7,28,32,26,190,24,0,126,1,216,51,25,109,67,33,517,476,354,63,80,57,2,0.060240963855421686,0.6265060240963856,2.602409638554217,1.3132530120481927,0.08433734939759036,6.228915662650603,5.734939759036145,0.3132530120481928,2.289156626506024,0.963855421686747,Defensive,75.0
Pierre-Emile Højbjerg,254,12,0.05,0,10,2,0,0,240,73,30,7,11,15,14660,57.72,20,141,29,42,784,41,2,299,3,504,60,64,340,327,173,1865,1243,1136,206,250,189,3,0.05905511811023622,0.9448818897637795,1.984251968503937,1.3385826771653544,0.07874015748031496,7.34251968503937,4.893700787401575,0.16535433070866143,3.0866141732283463,0.984251968503937,Defensive,18.0
Pablo Sarabia,45,5,0.11,1,1,3,2,0,68,25,37,0,7,7,1166,25.91,10,179,26,11,46,8,0,34,12,34,56,22,13,10,5,134,100,169,22,10,36,0,0.15555555555555556,1.511111111111111,0.7555555555555555,0.28888888888888886,0.2222222222222222,2.977777777777778,2.2222222222222223,0.24444444444444444,1.0222222222222221,0.2222222222222222,Attacking,10.0
Enzo Fernández,49,3,0.06,1,2,0,1,0,70,20,29,3,6,4,3404,69.47,8,65,18,34,273,10,0,45,5,104,52,20,33,38,16,252,231,226,41,29,33,0,0.08163265306122448,1.4285714285714286,2.122448979591837,0.673469387755102,0.16326530612244897,5.142857142857143,4.714285714285714,0.6938775510204082,5.571428571428571,0.5918367346938775,Defensive,75.0
Jakub Moder,57,0,0.0,0,0,0,0,0,52,12,23,4,6,3,1312,23.02,7,62,15,7,20,4,0,39,4,76,55,19,15,39,16,182,157,198,27,35,54,0,0.05263157894736842,0.9122807017543859,1.3333333333333333,0.2631578947368421,0.12280701754385964,3.192982456140351,2.754385964912281,0.12280701754385964,0.3508771929824561,0.6140350877192983,Balanced,10.0
Facundo Buonanotte,43,5,0.12,0,0,5,0,0,34,13,38,2,2,3,711,16.53,6,18,44,3,15,9,0,47,7,51,49,11,13,7,3,99,139,200,27,8,23,0,0.06976744186046512,0.7906976744186046,1.186046511627907,0.3023255813953488,0.13953488372093023,2.302325581395349,3.2325581395348837,0.06976744186046512,0.3488372093023256,0.18604651162790697,Balanced,18.0
Ryan Gravenberch,29,1,0.03,0,1,0,0,0,23,8,35,1,1,0,672,23.17,1,4,0,6,9,1,0,28,0,34,53,7,21,13,3,90,91,98,26,12,14,0,0.0,0.7931034482758621,1.1724137931034482,0.7241379310344828,0.034482758620689655,3.103448275862069,3.1379310344827585,0.20689655172413793,0.3103448275862069,0.41379310344827586,Balanced,35.0
Giovani Lo Celso,77,3,0.04,0,0,3,0,0,55,16,29,2,3,5,2168,28.16,6,111,21,11,85,13,0,61,2,109,62,14,22,24,10,240,286,276,57,23,45,0,0.06493506493506493,0.7142857142857143,1.4155844155844155,0.2857142857142857,0.07792207792207792,3.116883116883117,3.7142857142857144,0.14285714285714285,1.103896103896104,0.2987012987012987,Balanced,16.0
Bryan Mbeumo,101,25,0.25,0,1,24,5,0,207,79,38,12,29,21,2265,22.43,28,335,27,29,73,13,0,72,25,70,64,42,32,44,22,373,379,622,113,90,221,0,0.2079207920792079,2.0495049504950495,0.693069306930693,0.31683168316831684,0.27722772277227725,3.6930693069306932,3.7524752475247523,0.2871287128712871,0.7227722772277227,0.8910891089108911,Attacking,40.0
Pascal Groß,228,30,0.13,2,20,8,6,1,247,93,38,4,19,45,10413,45.67,73,1392,31,40,490,25,0,159,44,302,57,84,112,129,46,862,596,837,72,110,240,1,0.19736842105263158,1.0833333333333333,1.3245614035087718,0.49122807017543857,0.3201754385964912,3.780701754385965,2.6140350877192984,0.17543859649122806,2.1491228070175437,0.4824561403508772,Attacking,8.0
Wilfred Ndidi,195,7,0.04,1,4,2,0,0,193,33,17,5,4,10,9394,48.17,7,40,5,19,382,34,2,308,6,701,62,52,391,442,240,1560,1494,1233,143,516,420,3,0.05128205128205128,0.9897435897435898,3.594871794871795,2.005128205128205,0.035897435897435895,8.0,7.661538461538462,0.09743589743589744,1.958974358974359,2.646153846153846,Defensive,16.0
Conor Gallagher,136,18,0.13,1,15,2,0,0,157,58,37,7,12,13,4678,34.4,22,307,25,9,161,37,2,226,5,280,58,43,122,94,42,686,731,790,135,90,131,0,0.09558823529411764,1.1544117647058822,2.0588235294117645,0.8970588235294118,0.16176470588235295,5.044117647058823,5.375,0.0661764705882353,1.1838235294117647,0.6617647058823529,Defensive,50.0
Scott McTominay,178,19,0.11,5,10,4,0,0,157,57,36,1,13,4,5469,30.72,10,54,19,10,255,28,0,215,9,261,54,53,149,264,176,746,855,705,120,281,201,2,0.02247191011235955,0.8820224719101124,1.4662921348314606,0.8370786516853933,0.056179775280898875,4.191011235955056,4.803370786516854,0.056179775280898875,1.4325842696629214,1.5786516853932584,Defensive,32.0
Mohammed Kudus,36,8,0.22,0,4,4,0,0,74,17,23,3,4,6,834,23.17,6,109,22,4,48,6,0,43,17,70,71,27,11,8,0,222,303,273,135,17,30,0,0.16666666666666666,2.0555555555555554,1.9444444444444444,0.3055555555555556,0.16666666666666666,6.166666666666667,8.416666666666666,0.1111111111111111,1.3333333333333333,0.4722222222222222,Attacking,50.0
Yves Bissouma,165,4,0.02,0,4,0,0,0,141,24,17,2,4,2,6907,41.86,5,26,19,15,242,43,3,210,3,390,65,36,219,212,126,854,844,672,204,118,112,2,0.012121212121212121,0.8545454545454545,2.3636363636363638,1.3272727272727274,0.030303030303030304,5.175757575757576,5.115151515151515,0.09090909090909091,1.4666666666666666,0.7151515151515152,Defensive,35.0
Rodrigo Bentancur,60,6,0.1,0,4,2,0,0,50,18,36,1,2,7,2715,45.25,6,34,24,12,81,22,0,69,0,107,60,13,59,69,38,274,242,246,46,51,58,0,0.11666666666666667,0.8333333333333334,1.7833333333333334,0.9833333333333333,0.1,4.566666666666666,4.033333333333333,0.2,1.35,0.85,Defensive,35.0
Tom Cairney,122,6,0.05,0,1,5,0,0,83,23,28,3,0,6,4379,35.89,13,154,24,14,216,10,0,50,1,108,56,30,50,32,7,438,379,284,107,45,46,0,0.04918032786885246,0.680327868852459,0.8852459016393442,0.4098360655737705,0.10655737704918032,3.5901639344262297,3.1065573770491803,0.11475409836065574,1.7704918032786885,0.36885245901639346,Balanced,2.0
James Milner,637,55,0.09,1,38,8,17,4,532,159,30,8,14,89,18852,29.59,52,2413,23,121,988,76,3,503,48,908,76,184,490,484,159,2006,2070,2462,332,393,568,2,0.13971742543171115,0.8351648351648352,1.4254317111459969,0.7692307692307693,0.08163265306122448,3.1491365777080063,3.2496075353218212,0.18995290423861852,1.5510204081632653,0.6169544740973313,Balanced,1.0
Jean-Ricner Bellegarde,25,3,0.12,0,3,0,0,0,18,6,33,0,0,1,324,12.96,1,32,9,1,7,1,1,16,2,20,60,6,9,14,7,47,73,96,17,8,31,0,0.04,0.72,0.8,0.36,0.04,1.88,2.92,0.04,0.28,0.32,Balanced,15.0
Eberechi Eze,115,27,0.23,2,19,6,2,2,216,79,37,4,7,15,3350,29.13,19,304,31,21,101,10,0,78,16,118,55,71,53,20,9,543,586,569,224,51,103,1,0.13043478260869565,1.8782608695652174,1.0260869565217392,0.4608695652173913,0.16521739130434782,4.721739130434782,5.095652173913043,0.1826086956521739,0.8782608695652174,0.4434782608695652,Attacking,55.0
Frank Onyeka,69,1,0.01,0,1,0,0,0,47,18,38,1,5,4,948,13.74,3,30,20,2,32,12,0,74,6,81,68,15,47,46,16,194,228,248,33,33,59,0,0.057971014492753624,0.6811594202898551,1.173913043478261,0.6811594202898551,0.043478260869565216,2.8115942028985508,3.3043478260869565,0.028985507246376812,0.463768115942029,0.4782608695652174,Balanced,9.0
Roméo Lavia,31,1,0.03,0,1,0,0,0,12,3,25,0,0,0,1057,34.1,1,3,67,5,48,9,0,30,0,64,56,6,36,25,6,193,149,117,28,9,10,1,0.0,0.3870967741935484,2.064516129032258,1.1612903225806452,0.03225806451612903,6.225806451612903,4.806451612903226,0.16129032258064516,1.5483870967741935,0.2903225806451613,Defensive,35.0
Bruno Guimarães,89,16,0.18,3,12,1,0,0,101,37,37,3,6,14,4525,50.84,17,69,28,56,283,21,0,113,5,221,55,29,84,55,19,569,647,489,142,41,46,0,0.15730337078651685,1.1348314606741574,2.4831460674157304,0.9438202247191011,0.19101123595505617,6.393258426966292,7.269662921348314,0.6292134831460674,3.1797752808988764,0.4606741573033708,Defensive,85.0
Mikkel Damsgaard,52,0,0.0,0,0,0,0,0,23,11,48,0,6,2,815,15.67,9,61,11,16,38,6,0,28,3,64,64,7,24,20,7,141,127,139,21,22,20,0,0.038461538461538464,0.4423076923076923,1.2307692307692308,0.46153846153846156,0.17307692307692307,2.7115384615384617,2.4423076923076925,0.3076923076923077,0.7307692307692307,0.4230769230769231,Balanced,10.0
Will Hughes,152,6,0.04,0,1,4,0,0,90,21,23,0,5,11,3980,26.18,12,178,24,10,70,31,0,207,3,306,57,33,124,92,35,621,654,654,78,79,136,0,0.07236842105263158,0.5921052631578947,2.013157894736842,0.8157894736842105,0.07894736842105263,4.0855263157894735,4.302631578947368,0.06578947368421052,0.4605263157894737,0.5197368421052632,Balanced,9.0
Dejan Kulusevski,87,15,0.17,1,3,11,0,0,128,44,34,1,7,19,2326,26.74,26,186,26,25,31,12,0,115,18,120,51,60,46,13,5,365,341,514,134,16,34,0,0.21839080459770116,1.471264367816092,1.3793103448275863,0.5287356321839081,0.2988505747126437,4.195402298850575,3.9195402298850577,0.28735632183908044,0.3563218390804598,0.1839080459770115,Attacking,55.0
Julio Enciso,34,4,0.12,1,3,0,0,0,67,26,39,2,5,4,420,12.35,7,26,15,5,5,3,0,19,4,19,32,14,4,4,3,49,102,99,50,8,10,0,0.11764705882352941,1.9705882352941178,0.5588235294117647,0.11764705882352941,0.20588235294117646,1.4411764705882353,3.0,0.14705882352941177,0.14705882352941177,0.23529411764705882,Attacking,22.0
João Palhinha,68,7,0.1,4,3,0,0,0,84,23,27,1,5,1,2588,38.06,1,8,13,6,168,27,0,100,3,300,53,24,92,113,53,407,542,359,25,113,71,0,0.014705882352941176,1.2352941176470589,4.411764705882353,1.3529411764705883,0.014705882352941176,5.985294117647059,7.970588235294118,0.08823529411764706,2.4705882352941178,1.661764705882353,Defensive,55.0
Harry Wilson,98,13,0.13,0,0,13,0,2,114,37,32,4,5,9,1551,15.83,11,99,19,11,93,10,0,45,8,65,62,42,27,34,17,221,239,227,44,16,41,0,0.09183673469387756,1.163265306122449,0.6632653061224489,0.2755102040816326,0.11224489795918367,2.2551020408163267,2.438775510204082,0.11224489795918367,0.9489795918367347,0.16326530612244897,Balanced,17.0
Kaoru Mitoma,55,11,0.2,3,8,0,0,0,91,39,43,2,19,10,1585,28.82,16,91,0,0,0,4,0,46,13,60,0,19,22,16,5,0,0,0,0,0,0,0,0.18181818181818182,1.6545454545454545,1.0909090909090908,0.4,0.2909090909090909,0.0,0.0,0.0,0.0,0.0,Attacking,45.0
Cheick Doucouré,47,0,0.0,0,0,0,0,0,43,9,21,1,0,3,1682,35.79,4,7,29,8,57,11,1,48,0,113,57,15,77,57,23,296,189,158,26,35,39,0,0.06382978723404255,0.9148936170212766,2.404255319148936,1.6382978723404256,0.0851063829787234,6.297872340425532,4.0212765957446805,0.1702127659574468,1.2127659574468086,0.7446808510638298,Defensive,35.0
Pape Sarr,48,3,0.06,0,1,2,0,0,41,16,39,1,3,4,1559,32.48,3,27,22,6,28,11,0,38,0,49,69,12,37,34,22,173,121,132,21,28,33,0,0.08333333333333333,0.8541666666666666,1.0208333333333333,0.7708333333333334,0.0625,3.6041666666666665,2.5208333333333335,0.125,0.5833333333333334,0.5833333333333334,Balanced,45.0
Sasa Lukic,39,1,0.03,0,0,1,0,0,18,4,22,0,2,0,853,21.87,0,6,17,4,19,5,0,46,0,47,53,7,26,22,11,111,98,107,9,19,14,0,0.0,0.46153846153846156,1.205128205128205,0.6666666666666666,0.0,2.8461538461538463,2.5128205128205128,0.10256410256410256,0.48717948717948717,0.48717948717948717,Balanced,10.0
